IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
57.155.28.171,4,4,0.00,94.54,11.59
185.193.29.219,4,4,0.00,195.52,11.05
185.162.230.103,4,4,0.00,196.88,9.68
185.162.228.122,4,4,0.00,197.83,9.56
5.10.247.192,4,4,0.00,192.47,9.55
185.193.29.50,4,4,0.00,197.58,9.42
185.162.228.235,4,4,0.00,193.89,9.22
185.193.31.102,4,4,0.00,196.03,9.02
185.162.230.255,4,4,0.00,196.88,9.01
5.10.245.68,4,4,0.00,195.30,9.01
185.193.28.76,4,4,0.00,195.22,8.96
185.162.230.209,4,4,0.00,193.96,8.89
185.162.230.203,4,4,0.00,194.80,8.88
185.193.30.95,4,4,0.00,191.23,8.84
5.10.247.241,4,4,0.00,196.16,8.82
185.162.229.103,4,4,0.00,196.12,8.61
5.10.245.28,4,4,0.00,191.10,8.57
185.193.28.94,4,4,0.00,195.33,8.46
185.193.28.153,4,4,0.00,190.21,8.42
5.10.247.254,4,4,0.00,195.77,8.37
5.10.245.30,4,4,0.00,195.57,8.36
5.10.247.163,4,4,0.00,196.75,8.25
185.193.28.46,4,4,0.00,197.85,8.21
5.10.247.209,4,4,0.00,197.28,8.17
185.162.230.46,4,4,0.00,196.63,8.17
185.193.28.19,4,4,0.00,197.26,8.08
185.162.228.139,4,4,0.00,197.13,7.98
185.162.230.233,4,4,0.00,191.39,7.94
185.193.31.203,4,4,0.00,192.80,7.91
5.10.247.188,4,4,0.00,196.29,7.87
5.10.247.133,4,4,0.00,197.21,7.84
185.193.28.119,4,4,0.00,193.53,7.78
185.193.31.72,4,4,0.00,195.66,7.64
185.162.230.160,4,4,0.00,197.53,7.63
185.193.29.97,4,4,0.00,197.37,7.41
5.10.247.181,4,4,0.00,196.55,7.39
185.193.28.148,4,4,0.00,197.29,7.31
89.116.161.228,4,4,0.00,196.65,7.26
185.193.29.249,4,4,0.00,197.24,7.24
185.193.29.221,4,4,0.00,196.42,7.22
185.162.230.169,4,4,0.00,197.12,7.16
5.10.245.21,4,4,0.00,190.52,7.05
185.193.28.1,4,4,0.00,192.82,7.00
185.193.28.228,4,4,0.00,197.84,6.93
185.193.30.68,4,4,0.00,197.05,6.89
185.193.30.69,4,4,0.00,195.87,6.59
185.193.31.202,4,4,0.00,191.77,6.55
5.10.245.119,4,4,0.00,194.37,6.47
5.10.247.207,4,4,0.00,196.19,5.61
185.193.29.217,4,4,0.00,195.65,5.60
