IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
185.193.28.153,4,4,0.00,189.64,11.33
57.155.28.171,4,4,0.00,100.18,11.03
185.162.228.127,4,4,0.00,198.83,10.74
5.10.245.30,4,4,0.00,196.04,10.08
185.193.29.249,4,4,0.00,197.81,9.87
57.155.28.171,4,4,0.00,89.91,9.60
5.10.244.61,4,4,0.00,198.15,9.48
5.10.245.28,4,4,0.00,195.17,9.42
5.10.247.181,4,4,0.00,196.30,9.39
185.193.28.89,4,4,0.00,199.80,9.29
185.193.28.46,4,4,0.00,196.95,9.19
5.10.247.241,4,4,0.00,196.18,9.17
5.10.245.37,4,4,0.00,197.62,9.10
185.162.230.116,4,4,0.00,197.59,9.10
185.193.29.219,4,4,0.00,196.95,8.89
5.10.245.68,4,4,0.00,196.87,8.86
5.10.245.224,4,4,0.00,197.69,8.68
5.10.247.133,4,4,0.00,197.53,8.66
185.162.230.103,4,4,0.00,188.45,8.66
5.10.244.46,4,4,0.00,197.44,8.40
185.193.30.69,4,4,0.00,196.01,8.33
185.193.31.72,4,4,0.00,196.07,8.25
89.116.161.228,4,4,0.00,198.18,8.24
5.10.245.21,4,4,0.00,197.89,8.21
5.10.247.254,4,4,0.00,197.73,8.12
5.10.244.118,4,4,0.00,197.62,8.05
185.162.229.252,4,4,0.00,192.87,7.98
185.193.28.121,4,4,0.00,199.68,7.96
185.162.228.235,4,4,0.00,196.87,7.95
185.193.28.57,4,4,0.00,199.92,7.94
185.162.230.203,4,4,0.00,191.32,7.93
185.193.31.102,4,4,0.00,196.28,7.66
5.10.247.129,4,4,0.00,199.51,7.65
185.193.28.65,4,4,0.00,197.57,7.58
185.193.30.68,4,4,0.00,196.50,7.43
5.10.246.124,4,4,0.00,198.89,7.02
185.162.230.254,4,4,0.00,198.99,7.02
5.10.244.15,4,4,0.00,198.83,6.95
185.162.230.46,4,4,0.00,196.99,6.90
5.10.247.207,4,4,0.00,197.29,6.90
185.162.231.125,4,4,0.00,197.72,6.79
5.10.247.188,4,4,0.00,198.20,6.69
185.162.229.175,4,4,0.00,198.01,6.52
185.193.31.203,4,4,0.00,195.35,6.24
5.10.247.172,4,4,0.00,199.11,6.12
5.10.246.222,4,4,0.00,197.43,6.11
5.10.244.35,4,4,0.00,199.21,6.01
5.10.247.209,4,4,0.00,195.92,5.67
