IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
13.107.43.12,4,4,0.00,71.08,0.00
13.107.43.12,4,4,0.00,74.12,0.00
13.107.43.12,4,4,0.00,75.07,0.00
57.155.69.210,4,4,0.00,83.22,0.00
13.35.248.3,4,4,0.00,84.79,0.00
13.35.248.23,4,4,0.00,88.47,0.00
57.155.8.158,4,4,0.00,88.54,0.00
57.155.60.97,4,4,0.00,92.76,0.00
13.107.43.12,4,4,0.00,98.60,0.00
57.158.66.19,4,4,0.00,114.76,0.00
57.158.66.19,4,4,0.00,115.39,0.00
57.158.66.19,4,4,0.00,115.92,0.00
57.158.66.19,4,4,0.00,116.12,0.00
172.207.90.12,4,4,0.00,116.43,0.00
57.158.66.19,4,4,0.00,116.53,0.00
57.158.66.19,4,4,0.00,116.96,0.00
57.158.24.7,4,4,0.00,117.05,0.00
57.158.66.19,4,4,0.00,117.36,0.00
57.158.73.110,4,4,0.00,117.68,0.00
57.158.66.19,4,4,0.00,117.79,0.00
57.158.73.110,4,4,0.00,117.97,0.00
57.158.73.110,4,4,0.00,118.09,0.00
57.158.73.110,4,4,0.00,118.30,0.00
57.158.73.110,4,4,0.00,118.40,0.00
57.158.73.110,4,4,0.00,118.59,0.00
57.158.73.110,4,4,0.00,118.72,0.00
57.158.66.19,4,4,0.00,119.19,0.00
57.158.73.110,4,4,0.00,119.19,0.00
57.158.73.110,4,4,0.00,119.68,0.00
57.158.73.110,4,4,0.00,120.43,0.00
57.158.73.110,4,4,0.00,120.70,0.00
57.158.73.110,4,4,0.00,122.97,0.00
57.158.73.110,4,4,0.00,124.27,0.00
82.112.229.12,4,4,0.00,145.77,0.00
82.112.229.12,4,4,0.00,145.99,0.00
13.40.19.165,4,4,0.00,150.64,0.00
35.179.71.87,4,4,0.00,152.01,0.00
3.11.95.143,4,4,0.00,152.41,0.00
35.179.71.87,4,4,0.00,153.29,0.00
13.40.19.165,4,4,0.00,153.39,0.00
82.112.229.22,4,4,0.00,156.62,0.00
82.112.229.1,4,4,0.00,156.82,0.00
18.130.191.2,4,4,0.00,156.84,0.00
18.135.155.72,4,4,0.00,158.26,0.00
157.173.216.224,4,4,0.00,159.08,0.00
82.112.233.66,4,4,0.00,159.33,0.00
3.8.174.44,4,4,0.00,159.70,0.00
13.43.3.49,4,4,0.00,161.35,0.00
