IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
13.107.43.12,4,4,0.00,65.02,0.00
13.107.43.12,4,4,0.00,71.63,0.00
13.107.43.12,4,4,0.00,84.54,0.00
13.35.248.3,4,4,0.00,85.98,0.00
13.107.43.12,4,4,0.00,86.57,0.00
57.155.69.210,4,4,0.00,87.20,0.00
13.35.248.23,4,4,0.00,88.64,0.00
57.155.60.97,4,4,0.00,90.56,0.00
57.155.8.158,4,4,0.00,91.81,0.00
57.158.24.7,4,4,0.00,114.74,0.00
57.158.66.19,4,4,0.00,116.16,0.00
57.158.66.19,4,4,0.00,116.23,0.00
57.158.66.19,4,4,0.00,116.97,0.00
57.158.73.110,4,4,0.00,117.38,0.00
57.158.66.19,4,4,0.00,117.91,0.00
57.158.73.110,4,4,0.00,118.14,0.00
57.158.73.110,4,4,0.00,118.31,0.00
57.158.73.110,4,4,0.00,118.35,0.00
57.158.73.110,4,4,0.00,118.43,0.00
57.158.73.110,4,4,0.00,118.62,0.00
57.158.66.19,4,4,0.00,118.74,0.00
57.158.73.110,4,4,0.00,119.08,0.00
57.158.73.110,4,4,0.00,119.13,0.00
57.158.73.110,4,4,0.00,119.60,0.00
172.207.90.12,4,4,0.00,119.93,0.00
57.158.73.110,4,4,0.00,120.18,0.00
57.158.73.110,4,4,0.00,120.28,0.00
57.158.66.19,4,4,0.00,120.31,0.00
57.158.73.110,4,4,0.00,120.36,0.00
57.158.73.110,4,4,0.00,120.55,0.00
57.158.66.19,4,4,0.00,122.65,0.00
57.158.66.19,4,4,0.00,122.94,0.00
57.158.66.19,4,4,0.00,123.47,0.00
82.112.239.11,4,4,0.00,145.00,0.00
82.112.239.147,4,4,0.00,148.41,0.00
18.130.191.2,4,4,0.00,154.29,0.00
82.112.229.79,4,4,0.00,154.62,0.00
35.176.210.51,4,4,0.00,157.38,0.00
82.112.232.179,4,4,0.00,158.24,0.00
82.112.229.22,4,4,0.00,158.85,0.00
3.10.254.60,4,4,0.00,159.65,0.00
18.130.191.2,4,4,0.00,161.56,0.00
18.130.191.2,4,4,0.00,161.80,0.00
35.179.71.87,4,4,0.00,162.43,0.00
157.173.216.192,4,4,0.00,162.60,0.00
5.100.156.185,4,4,0.00,162.64,0.00
18.135.89.33,4,4,0.00,163.06,0.00
13.40.19.165,4,4,0.00,163.10,0.00
18.130.191.2,4,4,0.00,163.39,0.00
13.43.201.106,4,4,0.00,163.66,0.00
18.130.191.2,4,4,0.00,164.01,0.00
18.130.191.149,4,4,0.00,164.27,0.00
18.130.191.2,4,4,0.00,164.36,0.00
13.43.3.49,4,4,0.00,167.34,0.00
5.254.55.39,4,4,0.00,167.65,0.00
35.179.71.87,4,4,0.00,167.84,0.00
13.40.19.165,4,4,0.00,167.99,0.00
185.87.255.11,4,4,0.00,168.59,0.00
